"company_name","issue_type","last_month","last_week","last_day"
Security Vault Works,ACCOUNT__VERIZON__INVOICE_SUMMARY,2,2,
Simon Roofing,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,2,28,8
Simon Roofing,ACCOUNT__VERIZON__INVOICE_SUMMARY,28,28,8
Spence Brothers,ACCOUNT__VERIZON__INVOICE_SUMMARY,29,21,4
Structural Group Inc,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,,
Tellepsen,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,5,4,
Terros Inc,Login Issue,1,1,1
The Mosser Group,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,5,5,
The Systems Group,Login Issue,1,1,1
Thompson Tractor Company Inc,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,6,24,8
Thompson Tractor Company Inc,ACCOUNT__VERIZON__INVOICE_SUMMARY,58,24,8
TMS International,ACCOUNT__VERIZON__INVOICE_SUMMARY,60,42,8
"TransEnterix, Inc.",ACCOUNT__VERIZON__INVOICE_SUMMARY,28,20,3
UG2,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,6,1,
United Ag & Turf,Login Issue,1,1,
Viking Termite & Pest Control,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,3,3,
Wachter,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,2,2,
Warfel Construction,ACCOUNT__VERIZON__INVOICE_SUMMARY,2,2,
Waynes,ACCOUNT__VERIZON__INVOICE_SUMMARY,124,46,10
Waynes,ACCOUNT__VERIZON__SUB_ACCOUNT_PAYMENT_SETUP,4,46,10
Western Equipment LLC,ACCOUNT__VERIZON__INVOICE_SUMMARY,48,40,10
"WieseUSA, Inc.",ACCOUNT__VERIZON__INVOICE_SUMMARY,21,21,6
